"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YKL218C",238.60862314543,0.452998409356919,0.0967296433016852,4.68313945854307,2.82514160678494e-06,1.72241656659242e-05
"YKL167C",156.980022682125,0.0452549984768961,0.125926538015172,0.359376182258292,0.719313690059007,0.813637708104584
"tE(UUC)K",1.62597170351319,0.134254493979267,1.17789454413072,0.113978364742614,0.909254944095897,0.944714157197925
"YKL142W",2049.19652885415,0.0268966110278603,0.034543992128053,0.778619070087666,0.436204142067585,0.576155168704344
"YKL011C",163.270483348321,-0.0935826192862403,0.117230312368356,-0.798280047162114,0.42470799418728,0.565289381790918
"YKL160W",787.794194124374,0.0139298270872738,0.0519606111438642,0.268084358144019,0.788634385686139,0.865635532370952
"YKL144C",197.602965968381,0.0753315490156741,0.112761415055711,0.668061401840834,0.50409439879347,0.636577011501426
"YKL055C",29.1066901686467,0.56374137363523,0.263121849713883,2.1425106818314,0.0321524100380734,0.0725144168580637
"YKR043C",682.510330370021,0.0356707851919599,0.0630420067350998,0.565825661956594,0.571512299859133,0.697396885931042
"YKR039W",1629.08928067637,-0.256086646209884,0.0384338162628354,-6.66305537963226,2.68192542339504e-11,3.17854235532208e-10
"YKL019W",417.47103395959,0.394351624326365,0.0688018431275532,5.73170145449837,9.94281648711867e-09,8.85397000768692e-08
"YKL184W",264.489227507661,0.0784457773086519,0.0979185570244274,0.801132897506672,0.423054712986875,0.56366562962165
"YKR029C",461.758634348038,-0.0737999935458595,0.0675936313243514,-1.09181874238605,0.274912779291052,0.411083357397571
"YKL176C",783.40600772012,0.180288743944897,0.0581294636460081,3.1015036547181,0.00192540495604973,0.00644818808479814
"YKL033W-A",359.574487512817,-0.28308098098854,0.0875198687084125,-3.23447675557733,0.00121865839998642,0.00431838526506166
"YKL090W",134.270457217338,0.0186032448071737,0.124540000303333,0.149375660525639,0.881257216329636,0.927766701011795
"YKR041W",26.4872356084772,-0.119518959279359,0.275485498590738,-0.43384845986727,0.664398488764974,0.772342620674998
"YKL010C",1194.18378702614,-0.340128568471648,0.0433120721111612,-7.85297382214136,4.06286493365256e-15,6.41638958437563e-14
"YKL032C",1673.67295426523,0.170789885936061,0.0386834254203372,4.41506624814749,1.00979061183045e-05,5.52896213027298e-05
"YKR051W",275.85582494159,0.100598993678251,0.0953054526676497,1.05554289772969,0.291177100961946,0.428366940449965
"YKR098C",222.640046016155,-0.480377663308662,0.0953291391127459,-5.03914823714624,4.67608211915801e-07,3.24026120034337e-06
"YKL175W",1177.97542191285,0.488892407096191,0.0421182852227596,11.6076047377163,3.77029488717972e-31,1.29374411992544e-29
"YKL120W",783.785942465714,0.350843754155134,0.0544899376279035,6.43868885574705,1.20509949873293e-10,1.34781947349755e-09
"YKL222C",366.218716519077,0.00722142367808861,0.0783804238369775,0.0921330011318688,0.926592368839008,0.955882899913555
"YKL092C",235.781121735822,-0.120513238608111,0.0984808898698137,-1.22372207204284,0.221057090313784,0.348020218572314
"YKL068W",754.986594986827,0.0232437941395309,0.0541767954085817,0.429035973136371,0.667897045812269,0.774349414161262
"YKR009C",8806.28579786953,0.343087394609349,0.0151338103365587,22.670258644682,8.80751638796021e-114,1.04953568012166e-111
"tA(AGC)K2",0.569777058140759,-0.166370623911777,2.02016389537149,-0.0823550130229325,0.934364408881421,0.959894779077915
"YKR028W",1006.34739034597,-0.107300944201645,0.0520744964113877,-2.06052773614879,0.0393481171076648,0.0861635681669346
"YKR076W",1261.46955780429,0.366804717093153,0.0424744150149679,8.63589803329585,5.82674682395664e-18,1.10371383480381e-16
"YKR106W",209.438111311013,0.349465415394626,0.106005831512125,3.29666217801098,0.000978411084451299,0.00354282113121205
"YKL197C",695.53468204717,0.178421414489805,0.0550528412969249,3.24091200901871,0.00119147955107375,0.00423249700690371
"YKL152C",3845.27162339814,0.134879547488311,0.024031753877453,5.61255529563563,1.99360473172414e-08,1.70353134442242e-07
"YKL093W",1290.16224266666,0.281661260789798,0.0415232577625831,6.78321682754874,1.17529037907365e-11,1.42119061705696e-10
"YKL080W",691.743192669086,-0.0813820224636741,0.0611280722345,-1.33133631552253,0.183078373984351,0.30140559233696
"YKL185W",2059.9127220633,-1.87291865190576,0.0370555720585873,-50.5435093255219,0,0
"YKR081C",483.126624164277,-0.473540110613739,0.0657782191796584,-7.19904121028833,6.06374239621474e-13,8.19417889995699e-12
"YKR035C",0.246868999353223,0.371235300702607,3.12530247697927,0.118783798828144,0.905446644463405,NA
"YKL101W",1030.4257004453,-0.196589350488751,0.0457263937634777,-4.29925332633097,1.71374498511238e-05,9.03610992150164e-05
"YKR008W",430.326009591541,-0.468403149328802,0.0735332265257793,-6.36995235296236,1.89086932973488e-10,2.0758387918061e-09
"tW(CCA)K",2.78693585977563,0.899970915406063,0.889455908281106,1.01182184190027,0.311623244625076,0.451753759184417
"YKL056C",985.727832633704,0.00451788750458301,0.045904414162381,0.0984194567564148,0.921599225425931,0.952924410099797
"YKL156W",149.443552370447,-0.404725051652515,0.11592999895584,-3.4911158052083,0.000481007713345578,0.00186539914394492
"YKL162C",274.530756284866,-0.218302704980019,0.0888813743036202,-2.4561130685749,0.0140448959350726,0.0360416006102059
"YKL192C",1025.58966273227,0.225933669220606,0.0469062284588724,4.81670935062932,1.45945032400162e-06,9.33193894976258e-06
"YKR064W",237.218137730305,-0.15391116594507,0.0990427365437059,-1.55398741307145,0.120187419050701,0.216284553667847
"YKL017C",299.794604104127,0.128837326393013,0.0827934129494274,1.5561301533941,0.119677146078337,0.215662363320709
"YKL204W",1113.97495809571,0.0191806069277954,0.0433373247524784,0.442588623948194,0.658063314678673,0.767428285481143
"YKL190W",759.862711497041,0.0518307948093151,0.058203488706178,0.890510104488178,0.373192045196584,0.515469054629802
"YKL211C",670.661938271502,-0.229241489918873,0.0606087380009015,-3.78231749216528,0.000155375007936258,0.000669952501325153
"YKL115C",12.3934027727914,-1.57588813223385,0.447711229285244,-3.51987627102789,0.00043174815472508,0.00169746695025086
"YKL107W",863.78961696173,0.51034377365046,0.0515841631341637,9.89341965911364,4.445763914511e-23,1.05954678893473e-21
"YKL127W",376.964027368468,0.293017444518201,0.0799251441151553,3.66614846632025,0.000246231005925834,0.00101752712032655
"YKL165C-A",5.55520891264331,-0.131933841006048,0.612272847174418,-0.21548210346892,0.829391463706549,0.892876421342431
"YKR049C",696.152092161628,0.382688606033775,0.0561343716314474,6.81736688078265,9.27242547202606e-12,1.13379620417274e-10
"YKL052C",314.014732019614,0.322030351063097,0.141890881308783,2.26956340035901,0.0232340863852953,0.0554134651270834
"YKL053C-A",106.264486895101,0.172161603074918,0.151113916711554,1.13928357375277,0.254584897355684,0.387957577801569
"YKL121W",465.487104102897,0.155090862593367,0.0688914820258963,2.25123423146955,0.0243707058622789,0.0575587770167121
"tN(GUU)K",0.91732849080293,1.71252573592648,1.71233775669432,1.00010977929525,0.317257384027807,0.457979289863267
"YKL050C",880.621897033875,0.369913163782828,0.0506775019280839,7.29935671075045,2.8914680928165e-13,4.03205997453603e-12
