"","log2FoldChange","padj"
"YKL043W",0.453789480039277,3.12368661462796e-45
"YOR247W",0.622552028840074,3.3706364398525e-45
"YDR461W",0.66975023750066,6.25294363673869e-45
"YGR103W",-0.619679255580574,6.55351918076454e-45
"YBR072W",0.144560857179707,8.33259762236909e-45
"YOL136C",-1.10557321539252,1.15678344263872e-44
"YIL117C",1.06491025895866,5.75830462177771e-44
"YOL126C",0.328223461831252,7.78804618639573e-44
"YDR050C",0.475805013521302,9.57301872107721e-44
"YHL043W",1.30808539260181,1.0760759337934e-43
"YLR342W",-0.369587258472111,3.36052985110191e-42
"YMR006C",0.69331610790378,7.04594912238841e-42
"YIL169C",0.805943629879389,1.263520240113e-40
"YPL179W",-0.470798432557994,1.4145659792974e-40
"YAL061W",0.640887435497752,3.04406336836523e-40
"YDL078C",0.441923623409212,1.95601459216052e-39
"YBR126C",0.383179666030752,2.14282241030494e-39
"YDR264C",0.639825402173557,2.60730661731341e-39
"YGR032W",-0.336531533796343,5.43956169409065e-39
"YDL222C",0.513605915282027,1.93830861874781e-38
"YHR008C",0.36581674052697,2.29476831507542e-38
"YOR381W",1.54921611582082,3.72441812938302e-38
"YOR316C",0.546856790808244,6.50041501679591e-38
"YNL117W",-0.572542733532082,1.19811858934507e-37
"YPL262W",0.395583707571964,2.73371109858543e-37
"YJR025C",-0.594798505276146,4.53428970326867e-37
"YJR121W",0.201985277514783,5.44473419686148e-37
"YJL179W",-1.22759961278593,7.99372548475202e-37
"YLL024C",0.259270991722914,8.73763558429694e-37
"YOR355W",-0.507347474442334,1.51165534007451e-36
"YOL154W",1.31566092326852,3.40034080697717e-36
"YML100W",0.334356390425093,6.35573886935869e-36
"YER177W",0.224788268160015,1.33179316903421e-35
"YPR035W",-0.313920814992788,1.78251105480287e-35
"YNL016W",-0.440805565666827,3.60394811400095e-35
"YHR137W",-0.508457926966822,4.17084226254202e-35
"YBR068C",0.270183848918579,2.07485557298038e-34
"YHL035C",0.884623739897346,2.2340550488366e-34
"YDL070W",-0.432695303858077,4.0632648929657e-34
"YER065C",-0.332916229024741,7.39093719268972e-34
"YGR014W",0.415185714658124,5.25417052483451e-33
"YKR046C",0.203669214668428,1.06706997561683e-32
"YGR236C",0.499191842626049,1.19287668993736e-32
"YDL218W",0.419773134872264,1.32873852471327e-32
"YOL058W",-0.24848444382287,1.84710967054443e-32
"YJL089W",-0.674024668795594,1.8992499398178e-32
"YOR136W",0.58947879245514,2.23391046558183e-32
"YMR250W",0.584438017491516,2.93344511605425e-32
"YMR125W",-0.490433023268379,5.31878531250558e-32
"YLR178C",0.455382094821645,7.13018102672205e-32
"YLR307C-A",-0.644157394289021,1.39666198837386e-31
"YLR174W",0.31868285965988,1.81140881908516e-31
